CSMT,CST-MUMBAI
BVU,BALIPARA
DQL,DHALAIBI
NCA,NIZCHATIA
VNE,VISHWANATH C
MFC,MONABARI
NBX,NIZBARGANJ
BVV,BEDETTI
HML,HELEM
BJL,BRAHMAJAN
GPZ,GOHPUR
DBW,DUBIA
UKE,UTTARKATHANI
TBH,TATIBAHAR
TPG,TIPLING
HMY,HARMUTI
TUJ,TANIJAN
KTPR,KATHALPUKHUR
SOB,SILANIBARI
NLP,NORTH LAKHIM
LBI,LILABARI
SWJ,SIAJULI
BGND,BOGINADI
SUZ,SUBANSIRI
GOM,GOGAMUKH
BDLN,BORDOLANI
JFD,JIADHAL
DMC,DHEMAJI
MYO,MORIDHAL
SRPN,SRIPANI
SBGN,SISIBORGAON
SPTR,SILAPATHAR
ACPR,ARCHIPATHAR
DIPA,DIPA
SMCP,SIMEN CHAPAR
TQM,TELAM
LMY,LAIMEKURI
JYK,JONEKARANG H
MZS,MURKEONG SEL
YPRA,YESVANTPUR B
KDAG,KYATSNDRA GO
KRMR,KARIM NAGAR
MYGD,MYNAGURI RD
MHBA,MATHABHANGA
BPV,BHOTEPATTI
NCBD,NEW CHANGRAB
NYRH,NAYARHAT
CAPG,CHAPAGURI
ACOI,CHHEOKI
SFMU,SUNAM
DADN,MHOW
NHLN,NAHARLAGUN
RPSC,Rudrapur Sid
CNJW,HOLDING LINE
GMTO,GUMTO
RASP,RASIPURAM
NMKL,NAMAKKAL
NMGA,Nelamangala
KIGL,KUNIGAL
YY,YEDIYYURU
BGNR,B G NAGAR
SBGA,SHRAVANABELA
CNPA,CHENNRAYAPAT
BGNP,BANAGALAPALL
KLKA,KOILAKUNTLA
JMDG,JAMMALAMADUG
PRDT,Proddatur
SSDT,SHAMSHABAD T
JHJ,JHEJHAR
MCSC,MAHARAJA CHH
MONR,MOHANUR
UDT,UDUMALAIPPET
HISE,HIRISAVE
VRLI,veravali
SUAL,saundal
CHRK,CHURKI
DAYG,DARIYAGANJ
BSRI,BASARI
ISHN,ISHANAGAR
RAPU,RAMPURA
TILA,TILA
KHGP,KHARGAPUR
SKNP,SARKANPUR
MWAI,MAWAI
GIHT,GAIGHAT HALT
BRYC,BAREILLY CAN
PYI,PAYLI
DGBH,DIGHA BRIDGE
DCH,DINHATA COLL
SOLR,SOLUR
TASA,TIPPESANDRA
SIDP,SIDDAPURA
ACCI,ADICHUNCHUNA
DSVS,D Samudraval
SIGA,SHANTIGRAMA
HDIH,HOODI
EDN,EDAMANN
GMGM,GOMANGALAM
MVRD,MAIVADIROAD
PPTR,PUSHPATTUR
KTRK,KUTURUKHAMAR
MLFC,MALDA COURT
PJPR,PJP ROAD HAL
PASR,PANDURANGA S
CDBH,CANDRABANDA
